[2018-02-23T10:25:01.640] [INFO] default - [::1 GET /lib/waypoints.min.js 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.644] [INFO] default - [::1 GET /lib/video.js 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.647] [INFO] default - [::1 GET /lib/bigvideo.js 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.649] [INFO] default - [::1 GET /scripts/index.js 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.652] [INFO] default - [::1 GET /images/logo.png 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.653] [INFO] default - [::1 GET /images/customer-photo.jpg 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.653] [INFO] default - [::1 GET /lib/custom.js 304 8ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.655] [INFO] default - [::1 GET /images/center-block-bg2.png 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.725] [INFO] default - [::1 GET /fonts/iconfont.woff?-8vg322 304 1ms][http://localhost:3000/css/iconfont-style.css HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.728] [INFO] default - [::1 GET /images/kid-notebook-computer-learns-159533.jpeg 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.732] [INFO] default - [::1 GET /images/gym-1.jpg 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.734] [INFO] default - [::1 GET /images/gym-2.jpg 304 1ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.735] [INFO] default - [::1 GET /images/gym-3.jpg 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.739] [INFO] default - [::1 GET /images/pattern-bg2.png 304 8ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
[2018-02-23T10:25:01.747] [INFO] default - [::1 GET /images/bg-map.jpg 304 2ms][http://localhost:3000/applyList HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36]
